Index,Alphabet,Link,ScrapeStatus
362,a,https://www.hindigeetmala.net/singer/abu_malik.php,Done
364,a,https://www.hindigeetmala.net/singer/abuzar_akhtar.php,Done
366,a,https://www.hindigeetmala.net/singer/ad_boyz.php,Done
368,a,https://www.hindigeetmala.net/singer/adarsh_shinde.php,Done
370,a,https://www.hindigeetmala.net/singer/aditya_agarwal.php,Done
372,a,https://www.hindigeetmala.net/singer/adnan_dhool.php,Done
374,a,https://www.hindigeetmala.net/singer/aftab_sabri.php,Done
376,a,https://www.hindigeetmala.net/singer/afzal_hussain.php,Done
378,a,https://www.hindigeetmala.net/singer/ajay_jaiswal.php,Done
380,a,https://www.hindigeetmala.net/singer/akanksha_sharma.php,Done
382,a,https://www.hindigeetmala.net/singer/akhil_sachdeva.php,Done
384,a,https://www.hindigeetmala.net/singer/ali_ajmat.php,Done
386,a,https://www.hindigeetmala.net/singer/amaal_malik.php,Done
388,a,https://www.hindigeetmala.net/singer/aman_pant.php,Done
390,a,https://www.hindigeetmala.net/singer/amanat_ali_khan.php,Done
392,a,https://www.hindigeetmala.net/singer/amartya_bobo_rahut.php,Done
394,a,https://www.hindigeetmala.net/singer/ami_mishra.php,Done
396,a,https://www.hindigeetmala.net/singer/amruta_fadnavis.php,Done
398,a,https://www.hindigeetmala.net/singer/anand.php,Done
400,a,https://www.hindigeetmala.net/singer/anand_chitragupt.php,Done
402,a,https://www.hindigeetmala.net/singer/anand_kumar_c..php,Done
404,a,https://www.hindigeetmala.net/singer/ananthu.php,Done
406,a,https://www.hindigeetmala.net/singer/anil_kant.php,Done
408,a,https://www.hindigeetmala.net/singer/anjali_ram.php,Done
410,a,https://www.hindigeetmala.net/singer/ankita_joshi.php,Done
412,a,https://www.hindigeetmala.net/singer/anna_saheb.php,Done
414,a,https://www.hindigeetmala.net/singer/anoop_kumar.php,Done
416,a,https://www.hindigeetmala.net/singer/anuradha.php,Done
418,a,https://www.hindigeetmala.net/singer/anurag_mohn.php,Done
420,a,https://www.hindigeetmala.net/singer/anwar_hussain.php,Done
422,a,https://www.hindigeetmala.net/singer/arjun_chandy.php,Done
424,a,https://www.hindigeetmala.net/singer/arnab_chakraborty.php,Done
426,a,https://www.hindigeetmala.net/singer/arunraja_kamaraj.php,Done
428,a,https://www.hindigeetmala.net/singer/ashraf_khan.php,Done
430,a,https://www.hindigeetmala.net/singer/avijit_das.php,Done
432,a,https://www.hindigeetmala.net/singer/avinash_baghel.php,Done
434,a,https://www.hindigeetmala.net/singer/avinash_vyas.php,Done
436,a,https://www.hindigeetmala.net/singer/aziz_ahmed_khan_warsi.php,Done
438,a,https://www.hindigeetmala.net/singer/a_kumar.php,Done
440,a,https://www.hindigeetmala.net/singer/aanchal.php,Done
442,a,https://www.hindigeetmala.net/singer/abbey.php,Done
444,a,https://www.hindigeetmala.net/singer/abhas_joshi.php,Done
446,a,https://www.hindigeetmala.net/singer/abhay_jodhpurkar.php,Done
448,a,https://www.hindigeetmala.net/singer/abhijit_ghoshal.php,Done
450,a,https://www.hindigeetmala.net/singer/abhijit_vaghani.php,Done
452,a,https://www.hindigeetmala.net/singer/abhishek_chaithra_soman.php,Done
454,a,https://www.hindigeetmala.net/singer/achal.php,Done
456,a,https://www.hindigeetmala.net/singer/adeel.php,Done
458,a,https://www.hindigeetmala.net/singer/adil_hussaini.php,Done
460,a,https://www.hindigeetmala.net/singer/advaita.php,Done
462,a,https://www.hindigeetmala.net/singer/agha_jaan.php,Done
464,a,https://www.hindigeetmala.net/singer/ajay_pohankar.php,Done
466,a,https://www.hindigeetmala.net/singer/ajay_singha.php,Done
468,a,https://www.hindigeetmala.net/singer/ajoy_chakrabarty.php,Done
470,a,https://www.hindigeetmala.net/singer/akanksha_bhandari.php,Done
472,a,https://www.hindigeetmala.net/singer/akhtar_channal.php,Done
474,a,https://www.hindigeetmala.net/singer/akira.php,Done
476,a,https://www.hindigeetmala.net/singer/akshay_hariharan.php,Done
478,a,https://www.hindigeetmala.net/singer/alisha_batth.php,Done
480,a,https://www.hindigeetmala.net/singer/altaaf_sayyed.php,Done
482,a,https://www.hindigeetmala.net/singer/amanjot_sangha.php,Done
