CombinedURl,Status
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=1950,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=1940,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=1930,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=1920,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=1910,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=1900,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=1890,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=1860,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=2020,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=2010,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=2000,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=1990,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=1980,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=1970,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=1960,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=1950,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=1940,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=1930,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=1920,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=1910,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=1900,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=1890,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Netherlands&decade=1860,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Japan&decade=2020,NotDone
